gimot,-3.0
gir,-3.0
glori,2.0
glorif,2.0
glorific,2.0
glutin,-2.0
goc,3.0
gol,-3.0
golosin,2.0
golp,-3.0
gom,2.0
gordur,-2.0
got,-2.0
goz,3.0
gozador,3.0
grab,2.0
grabador,-3.0
graci,2.0
graciabl,2.0
gran,3.0
grand,2.0
grandez,2.0
grandi,2.0
granj,2.0
grat,2.0
gratif,2.0
gratis,2.0
gratitud,2.0
gratuit,2.0
grav,-3.0
gravement,-3.0
griet,-2.0
grim,-3.0
gris,-2.0
grisac,-2.0
grit,-4.0
gros,-2.0
gruñon,-2.0
guap,2.0
guard,3.0
guardi,-3.0
guay,3.0
guerr,-3.0
guij,-3.0
gul,-3.0
gust,3.0
habil,2.0
habit,0.0
hacin,-3.0
hack,-2.0
had,-2.0
halag,3.0
hallaz,2.0
hambr,-2.0
hambrient,-2.0
happy,3.0
hart,-4.0
hazañ,-3.0
hazmerr,-2.0
hechic,2.0
hechiz,2.0
hed,-3.0
hediond,-3.0
hediondez,-3.0
hedor,-3.0
helic,-3.0
hend,-2.0
her,-3.0
herm,3.0
hermosur,2.0
herod,3.0
heroic,3.0
heroin,3.0
heroism,3.0
herv,-1.0
hesit,-1.0
hied,-3.0
higi,2.0
hijoput,-2.0
hijodeput,-2.0
hir,-3.0
histeri,-2.0
hocic,-3.0
hombrecill,2.0
hondon,-4.0
honest,1.0
honor,1.0
honorari,1.0
honorif,1.0
honr,1.0
honradez,1.0
hormig,-3.0
horrend,-4.0
horribl,-4.0
horripil,-4.0
horror,-4.0
horroriz,-4.0
hostig,-3.0
hostil,-3.0
huell,2.0
huev,-3.0
huevon,-1.0
huid,3.0
humanitari,3.0
humeant,-4.0
humild,2.0
humill,-4.0
humor,3.0
hurañ,-3.0
hurr,3.0
hurt,-2.0
hurtadill,-2.0
husmeador,-2.0
ideal,2.0
idiot,-3.0
idolatr,2.0
ignomini,-3.0
ignor,-3.0
ilegal,-2.0
ilegitim,-3.0
iles,2.0
ilustr,3.0
imbecil,-2.0
impacient,-2.0
impact,-3.0
impec,2.0
imped,-2.0
impediment,-3.0
impel,-3.0
imper,3.0
imperd,2.0
imperfeccion,-1.0
imperfect,-3.0
imperici,-2.0
impersonal,-1.0
impertinent,-1.0
impetu,-2.0
implac,-3.0
implic,-2.0
imponent,2.0
